OWSJ                                                                                                            Uniform Load (kN/m),,,,,,,,,,,,,,
Span,Depth,Factored Load,4.5,6.3,8.1,9.9,11.7,13.5,15.3,17.1,18.9,20.7,22.5,24.3
4,,Self Wt (kg/m),9.5,9.7,9.7,9.9,9.9,10.7,11.5,11.8,12.0,13.0,13.0,14.3
4,660,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
4,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
4,,Self Wt (kg/m),10.0,10.0,10.4,10.4,10.1,10.7,11.4,12.0,12.1,13.1,13.3,14.5
4,711,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
4,,Bridg. (H/X/EX),0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0,0/0/0
5,,Self Wt (kg/m),8.8,8.9,8.9,8.9,10.2,11.5,12.6,14.0,14.8,15.2,17.1,19.5
5,305,WL/360 (kN/m),3,4,5,6,6,6,7,8,9,9,11,11
5,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
5,,Self Wt (kg/m),8.8,8.8,8.8,8.8,9.5,11.4,10.8,11.6,13.8,14.6,15.4,15.3
5,356,WL/360 (kN/m),3,4,5,7,8,9,9,9,11,12,12,13
5,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
5,,Self Wt (kg/m),9.0,9.1,9.1,9.2,9.9,9.9,11.1,11.1,12.0,13.9,15.5,15.8
5,406,WL/360 (kN/m),3,4,5,7,8,9,10,11,12,14,15,16
5,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
5,,Self Wt (kg/m),8.7,8.8,8.8,8.9,9.6,11.0,11.6,11.9,12.1,13.7,14.2,15.5
5,457,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
5,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
5,,Self Wt (kg/m),8.8,8.9,8.9,9.1,9.7,11.6,11.6,11.6,11.8,12.4,14.1,14.9
5,508,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
5,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
5,,Self Wt (kg/m),9.0,9.1,9.1,9.2,9.3,11.7,11.7,11.7,11.8,11.7,12.6,14.6
5,559,WL/360 (kN/m),3,4,5,7,8,9,10,11,13,14,15,16
5,,Bridg. (H/X/EX),1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0,1/0/0
5,,Self Wt (kg/m),9.5,9.6,9.6,9.8,9.5,11.2,11.7,11.9,12.2,12.4,12.8,14.8
